"","term","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","treatment","pAdj","Results"
"1","CrossesMhPh",15.9285509489906,2.88861836821448,5.51424553837355,1.1797746023435e-07,"F1","TAG","female","Both","HSD",2.30056047456982e-06,"***"
"2","CrossesMhPc",12.9192436052367,2.90546188881896,4.4465369361593,1.51068446089639e-05,"F1","TAG","female","Maternal","HSD",0.000135961601480675,"***"
"3","CrossesMcPh",13.3191210311176,2.8927700341693,4.60427924577226,7.72585967903418e-06,"F1","TAG","female","Paternal","HSD",8.21750529497272e-05,"***"
"4","CrossesMhPh",2.90305244607722,2.37012565030179,1.22485170594545,0.222205378043518,"F2","TAG","female","Both","HSD",0.371400417587024," "
"5","CrossesMhPc",2.17308886442218,2.36006190369121,0.920776213972781,0.358379495284448,"F2","TAG","female","Maternal","HSD",0.530764568965575," "
"6","CrossesMcPh",3.33279653011524,2.38211435929562,1.39909174264024,0.163478109782203,"F2","TAG","female","Paternal","HSD",0.317022725262973," "
"7","CrossesMhPh",-7.90878800051303,2.48210779952022,-3.1863193057295,0.00163986497964513,"F3","TAG","female","Both","HSD",0.00799434177577001,"**"
"8","CrossesMhPc",-2.06073477247567,2.4974792355548,-0.825125888190974,0.410151389902537,"F3","TAG","female","Maternal","HSD",0.585216007543864," "
"9","CrossesMcPh",-12.1252005356302,2.49250165736521,-4.86467100224425,2.12185760456557e-06,"F3","TAG","female","Paternal","HSD",2.75841488593524e-05,"***"
"10","CrossesMhPh",-0.045408355410494,2.10157084467746,-0.0216068639919979,0.982785099043583,"F1","Glycogen","female","Both","HSD",0.982785099043583," "
"11","CrossesMhPc",-3.07752522713621,2.11481290287532,-1.45522340200969,0.147320660045119,"F1","Glycogen","female","Maternal","HSD",0.302395039039981," "
"12","CrossesMcPh",-8.18657249563429,2.07201328079476,-3.95102317707837,0.000110998539458336,"F1","Glycogen","female","Paternal","HSD",0.000683517321927649,"***"
"13","CrossesMhPh",0.123049648821582,2.13788770959581,0.0575566472781894,0.954164580302589,"F2","Glycogen","female","Both","HSD",0.970758746916547," "
"14","CrossesMhPc",0.33394163142509,2.17824824743594,0.1533074257345,0.878324762285173,"F2","Glycogen","female","Maternal","HSD",0.929492164551069," "
"15","CrossesMcPh",6.07703691560064,2.15855207631441,2.81533023098373,0.00540664107324986,"F2","Glycogen","female","Paternal","HSD",0.021813000192077,"*"
"16","CrossesMhPh",-5.33912416529553,1.72495450517421,-3.09522607656039,0.00220944075580252,"F3","Glycogen","female","Both","HSD",0.00994248340111133,"**"
"17","CrossesMhPc",-3.87465065002327,1.72853847370717,-2.24157616909352,0.0259391960121305,"F3","Glycogen","female","Maternal","HSD",0.0758721483354816,"."
"18","CrossesMcPh",-7.04147396690295,1.72536569356202,-4.08114870556271,6.17527125251166e-05,"F3","Glycogen","female","Paternal","HSD",0.000451566710339915,"***"
"19","CrossesMhPh",-2.16034169878794,1.66703544722133,-1.29591827359692,0.196635721355374,"F1","Trehalose","female","Both","HSD",0.342900435917922," "
