"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"1","CrossesMnPn",8.93540567748976,3.77665289478491,2.36595893941656,0.0190290141824429,"F1","TAG","NSD","female","Parental",0.0607700775503822,".",0.0812166172322821,"."
"2","CrossesMnPc",-6.76516855053127,3.61430444715404,-1.8717760635406,0.0628332253730523,"F1","TAG","NSD","female","Maternal",0.169434556722982," ",0.203225944709313," "
"3","CrossesMcPn",-8.11155715314756,3.62265184062364,-2.23912137020353,0.0263523712113776,"F1","TAG","NSD","female","Paternal",0.0815276484351996,".",0.105921181373887," "
"4","CrossesMnPn",0.0583719465787337,3.23179046275435,0.0180617980192272,0.985609230879211,"F2","TAG","NSD","female","Parental",0.987398431360041," ",0.999986154515138," "
"5","CrossesMnPc",3.96597358740607,3.21598430651072,1.23320676017511,0.21908034739543,"F2","TAG","NSD","female","Maternal",0.409225554568822," ",0.515336726259705," "
"6","CrossesMcPn",2.37243252092352,3.23979776058372,0.732277968022323,0.464935738207,"F2","TAG","NSD","female","Paternal",0.671950920912307," ",0.840538845492131," "
"7","CrossesMnPn",-1.28992669144404,2.6658797505372,-0.483865294818382,0.628939850580512,"F3","TAG","NSD","female","Parental",0.793185289267142," ",0.971571261717656," "
"8","CrossesMnPc",-4.96253639368805,2.65960617764749,-1.86589143738475,0.0633240262500033,"F3","TAG","NSD","female","Maternal",0.169434556722982," ",0.203225944709313," "
"9","CrossesMcPn",1.50788861354212,2.68354270812523,0.561902223123388,0.574727425739131,"F3","TAG","NSD","female","Paternal",0.753157157527194," ",0.92064245549478," "
"10","CrossesMnPn",-2.40543092045076,1.68565819151858,-1.42699803112738,0.155284451965447,"F1","Glycogen","NSD","female","Parental",0.341625794323983," ",0.409476198176401," "
"11","CrossesMnPc",-6.81744082149635,1.71121040045928,-3.98398748608971,9.77345603764361e-05,"F1","Glycogen","NSD","female","Maternal",0.000569160086898069,"***",0.000860895914805203,"***"
"12","CrossesMcPn",-5.09260673147208,1.67814925414611,-3.03465661286686,0.00275879225259919,"F1","Glycogen","NSD","female","Paternal",0.0121386859114365,"*",0.0173051514026677,"*"
"13","CrossesMnPn",-8.39868627861757,2.22541228523151,-3.77399115406782,0.000216897589727891,"F2","Glycogen","NSD","female","Parental",0.0011606952098952,"**",0.00172683850283359,"**"
"14","CrossesMnPc",-6.67076284868292,2.23475554642268,-2.98500784990163,0.00322339287751829,"F2","Glycogen","NSD","female","Maternal",0.013296495619763,"*",0.0190640664470368,"*"
"15","CrossesMcPn",-10.9034454986378,2.28903648913296,-4.76333407108235,3.8634928300913e-06,"F2","Glycogen","NSD","female","Paternal",3.82485790179039e-05,"***",4.99839384893062e-05,"***"
"16","CrossesMnPn",-5.62491285257097,1.74997205351643,-3.21428724605524,0.00149441443233397,"F3","Glycogen","NSD","female","Parental",0.00721692823419818,"**",0.0101424192620699,"*"
"17","CrossesMnPc",-1.67185412023784,1.75688834452773,-0.951599528476151,0.342294725184876,"F3","Glycogen","NSD","female","Maternal",0.570655290528479," ",0.704709539151302," "
"18","CrossesMcPn",-1.33992863073116,1.76814385811538,-0.757816523005858,0.449333210301836,"F3","Glycogen","NSD","female","Paternal",0.669655157765148," ",0.831361658930027," "
"19","CrossesMnPn",-1.48915752918981,2.38606306769852,-0.624106524822993,0.533334862774226,"F1","Trehalose","NSD","female","Parental",0.733934239202712," ",0.904920627821843," "
"20","CrossesMnPc",-1.29149817723557,2.42223243012223,-0.533185073890863,0.594552401450369,"F1","Trehalose","NSD","female","Maternal",0.769161516108967," ",0.937306985355987," "
"21","CrossesMcPn",-1.10414490376289,2.37543410493948,-0.464818157433593,0.642614259563759,"F1","Trehalose","NSD","female","Paternal",0.795235146210152," ",0.979274604144311," "
"22","CrossesMnPn",-1.418297206786,1.23841043289417,-1.14525618414845,0.253598591934526,"F2","Trehalose","NSD","female","Parental",0.452365055883208," ",0.576351066241428," "
"23","CrossesMnPc",-2.63346198433015,1.24360982548007,-2.1175950289019,0.0355598910563748,"F2","Trehalose","NSD","female","Maternal",0.103542035722974," ",0.132628782858911," "
"24","CrossesMcPn",-3.28663830152378,1.27381640167534,-2.58015071654059,0.01065984112484,"F2","Trehalose","NSD","female","Paternal",0.0363904921158332,"*",0.0495862272548738,"*"
"25","CrossesMnPn",0.198772420822046,1.2340221348732,0.161076868238243,0.872173642047411,"F3","Trehalose","NSD","female","Parental",0.933461519596688," ",0.999986154515138," "
"26","CrossesMnPc",-1.60245595753981,1.23889927344351,-1.29345136597408,0.197146905799355,"F3","Trehalose","NSD","female","Maternal",0.375337378348772," ",0.471785080930248," "
