"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"1","F1","McPc","CD","Both",1,"male",2.59,5.658341676,8.093985236,20.73420295,2.7,21.86370499,NA,NA
"2","F1","McPc","CD","Both",2,"male",2.67,7.882675439,15.4746356,22.00078166,2.6,24.77467519,NA,NA
"3","F1","McPc","CD","Both",3,"male",2.5,6.8603622,10.38639651,21.28782425,2.7,35.18690155,NA,NA
"4","F1","McPc","CD","Both",4,"male",2.48,6.486834923,10.36493569,12.18048646,2.37,17.31930872,NA,NA
"5","F1","McPc","CD","Both",5,"male",2.85,6.047240803,9.757816012,15.92889209,2.64,36.66291683,NA,NA
"6","F1","McPc","CD","Both",6,"male",2.4,6.865943049,15.64566171,20.8995666,2.33,29.73524619,NA,NA
"7","F1","McPc","CD","Both",7,"male",2.74,7.174752331,10.62427605,16.98386509,2.7,43.79887614,NA,NA
"8","F1","McPc","CD","Both",8,"male",2.66,12.42583473,3.281509225,10.58358308,2.57,24.80837704,NA,NA
"9","F1","McPc","CD","Both",9,"male",2.69,6.467681624,12.01934788,16.47313279,2.53,26.03972552,NA,NA
"10","F1","McPc","CD","Both",10,"male",2.61,5.625134989,8.88557685,12.16927825,2.93,36.4787233,NA,NA
"11","F1","McPc","CD","Both",11,"male",2.59,5.765276956,10.34590025,11.71964683,2.55,37.99138298,NA,NA
"12","F1","McPc","CD","Both",12,"male",2.65,7.699526495,11.57737896,21.8925055,2.78,30.90161128,NA,NA
"13","F1","McPc","CD","Both",13,"male",2.6,10.83834857,17.54872873,16.96866091,2.47,28.87718218,NA,NA
"14","F1","McPc","CD","Both",14,"male",2.56,8.272039779,29.09021917,24.47459392,2.5,17.07486001,NA,NA
"15","F1","McPc","CD","Both",15,"male",2.52,8.611827967,26.65997543,11.61448038,2.85,15.0810123,NA,NA
"16","F1","McPc","CD","Both",16,"male",2.51,7.272570804,24.13533982,15.04706568,2.49,22.42575088,NA,NA
"17","F1","McPc","CD","Both",17,"male",2.58,8.287807233,11.9205261,10.09557756,2.64,38.67144588,NA,NA
"18","F1","McPc","CD","Both",18,"male",2.59,9.549008225,11.55578975,8.273727806,2.68,15.7573175,NA,NA
"19","F1","McPc","CD","Both",19,"male",2.59,8.507393176,29.87740027,16.39052881,2.42,32.1448235,NA,NA
"20","F1","McPc","CD","Both",20,"male",2.55,9.915551018,18.32471538,18.88432303,2.59,34.71732487,NA,NA
"21","F1","McPc","CD","Both",21,"male",2.71,6.408168263,18.68174402,16.50677806,2.67,36.4453857,NA,NA
"22","F1","McPc","CD","Both",22,"male",2.69,7.327268028,19.19983771,6.006958721,2.6,25.78202954,NA,NA
"23","F1","McPc","CD","Both",23,"male",2.65,4.673473024,7.451526976,15.77526313,2.65,26.94973211,NA,NA
